delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000.0,exp,26,7,319,6,1901.797884199943,,1901.7870726000401,1901.797884199943,1902.7953894000384,1902.7953894000384,1902.8115447000018,1903.0454938000184,space,0.21677000005729496,None,1903.046252799977,1903.1606770666588,1903.4767563000205,1903.462102099962,1903.4621245000162,1903.4767563000205,1903.4767563000205,1903.4767563000205,1904.9071355000488,100,1,[1.443508299998939],[1.443520399974659],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,400.0,unexp,26,8,320,2,1904.922783099988,,1904.908043399977,1904.922783099988,1905.9199569000048,1905.9199569000048,1905.9363270999747,1993.5809286999865,space,87.65966600005049,None,1993.5812824000022,1994.2953383666502,1994.6110136999632,1994.598088400031,1994.5981098999619,1994.6110136999632,1994.6110136999632,1994.6110136999632,1995.9788144999766,800,1,[1.3792817000066862],[1.379295299993828],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,26,9,321,10,1995.9903423999785,,1995.9795129999402,1995.9903423999785,1996.9875836000429,1996.9875836000429,1997.0040697999648,1997.4547204999835,space,0.461409299983643,None,1997.455075100006,1997.8685135666785,1998.1840769999544,1998.1713237000513,1998.171358499967,1998.1840769999544,1998.1840769999544,1998.1840769999544,2000.1350629999652,700,1,[1.9619547999463975],[1.9619619000004604],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,26,10,322,8,2000.1461872000364,,2000.136060299992,2000.1461872000364,2001.1433678999892,2001.1433678999892,2001.1607544000144,2001.8429486000095,space,0.6880744999507442,None,2001.8433100999682,2002.5562483667202,2002.8717128999415,2002.853886799945,2002.8539090999984,2002.8717128999415,2002.8717128999415,2002.8717128999415,2004.0715549999732,800,1,[1.2164526999695227],[1.216459900024347],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,400.0,unexp,26,11,323,1,2004.0854305000394,,2004.0721498999628,2004.0854305000394,2005.0821519999881,2005.0821519999881,2005.099108399998,2005.7818289000425,space,0.6909009999362752,None,2005.7824010999757,2006.1957787666508,2006.511724800046,2006.4910791000002,2006.4911013000528,2006.511724800046,2006.511724800046,2006.511724800046,2008.7592197999475,400,1,[2.266959400032647],[2.266967000090517],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,27,0,324,9,2008.7721177000203,,2008.7604717000504,2008.7721177000203,2009.7697334000259,2009.7697334000259,2009.7864586000214,2010.934633900004,space,1.15792250004597,None,2010.9349846999976,2011.049152166703,2011.364917400002,2011.3443718000199,2011.3444127999828,2011.364917400002,2011.364917400002,2011.364917400002,2013.0818355000229,300,1,[1.7357847000239417],[1.7357918000780046],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,400.0,unexp,27,1,325,1,2013.093588299991,,2013.082438399957,2013.093588299991,2014.0906995999976,2014.0906995999976,2014.1074598000268,2029.9495979999774,space,15.847560500027612,None,2029.950189999945,2030.363324466631,2030.679199599952,2030.6615418999572,2030.6615644000121,2030.679199599952,2030.679199599952,2030.679199599952,2036.7840152000426,500,1,[6.1210413000080734],[6.121048899949528],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,27,2,326,6,2036.7954858999583,,2036.785243399965,2036.7954858999583,2037.7927169999457,2037.7927169999457,2037.8092477999744,2038.0269188000239,space,0.2206053000409156,None,2038.027545800025,2038.1422392666611,2038.4582326999516,2038.4426243999624,2038.4426424999838,2038.4582326999516,2038.4582326999516,2038.4582326999516,2040.7728671000223,300,1,[2.328830200014636],[2.328838999965228],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,400.0,unexp,27,3,327,0,2040.7846868000343,,2040.773594999977,2040.7846868000343,2041.7817949000164,2041.7817949000164,2041.7984315000358,2042.0486827999703,space,0.2583421999588609,None,2042.049037699995,2042.163851766618,2042.4803873999626,2042.4642472999985,2042.4642823000322,2042.4803873999626,2042.4803873999626,2042.4803873999626,2047.7542416999931,500,1,[5.288413600064814],[5.28842130000703],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,27,4,328,11,2047.7660102999653,,2047.7552435000543,2047.7660102999653,2048.763360300043,2048.763360300043,2048.7800120999455,2050.393636300054,space,1.6278881001053378,None,2050.3940992999705,2051.1074761666864,2051.422780999972,2051.409812299942,2051.4098432999454,2051.422780999972,2051.422780999972,2051.422780999972,2053.8035287999664,700,1,[2.39181830000598],[2.3918258000630885],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,27,5,329,10,2053.816553599958,,2053.804146700015,2053.816553599958,2054.813788999978,2054.813788999978,2054.8307267999626,2055.579862500017,space,0.7582061999710277,None,2055.5802614000277,2055.993628666624,2056.3087412999594,2056.2935346000013,2056.293558699952,2056.3087412999594,2056.3087412999594,2056.3087412999594,2058.33782299998,600,1,[2.0427797000156716],[2.042789699975401],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,400.0,unexp,27,6,330,2,2058.3529702999513,,2058.3386660999968,2058.3529702999513,2059.351248399995,2059.351248399995,2059.3671500000055,2059.6509509999887,space,0.2915628000628203,None,2059.6513092000387,2060.3647475666407,2060.68024289998,2060.668186600029,2060.668218900042,2060.68024289998,2060.68024289998,2060.68024289998,2062.2134322999627,800,1,[1.5437002000398934],[1.5437150000361726],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,27,7,331,4,2062.225723099953,,2062.2147887000465,2062.225723099953,2063.2237529999693,2063.2237529999693,2063.2395977000124,2064.3715888000443,space,1.1340491999872029,None,2064.3720314000384,2064.785386866661,2065.10189989995,2065.0831185000134,2065.083140599949,2065.10189989995,2065.10189989995,2065.10189989995,2070.6900651000324,600,1,[5.605001899995841],[5.60501669999212],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.1,1000.0,exp,27,8,332,3,2070.7027228000225,,2070.6911143999896,2070.7027228000225,2071.7004781000433,2071.7004781000433,2071.716839199944,2072.2504583000555,space,0.5375995999202132,None,2072.251052900043,2072.364800166692,2072.6814073999994,2072.667375900026,2072.6673975999583,2072.6814073999994,2072.6814073999994,2072.6814073999994,2075.343431599962,400,1,[2.6747843000339344],[2.67479160008952],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,27,9,333,5,2075.356613799988,,2075.3448087999714,2075.356613799988,2076.3545212000026,2076.3545212000026,2076.371414699999,2090.665795899986,space,14.303834300022572,None,2090.6661500000046,2091.37960326672,2091.695149099978,2091.6800927000004,2091.6801215999876,2091.695149099978,2091.695149099978,2091.695149099978,2094.4086962999427,200,1,[2.726915100007318],[2.7269295000005513],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,1000.0,exp,27,10,334,8,2094.4213781,,2094.4094272000366,2094.4213781,2095.419406800007,2095.419406800007,2095.435554900032,2097.7635880000307,space,2.337105500046164,None,2097.764359099965,2098.4768450666493,2098.7924268999486,2098.7791433999664,2098.779193399998,2098.7924268999486,2098.7924268999486,2098.7924268999486,2101.0570418999414,600,1,[2.276290800073184],[2.2762988000176847],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.4,1000.0,exp,27,11,335,7,2101.0700830999413,,2101.057665500033,2101.0700830999413,2102.0675364999915,2102.0675364999915,2102.0842403999413,2106.789130099991,space,4.706508700037375,None,2106.789708999975,2107.2030103666516,2107.5188614000217,2107.504333399993,2107.5043579999474,2107.5188614000217,2107.5188614000217,2107.5188614000217,2111.1965781000326,600,1,[3.6908042998984456],[3.690818200004287],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
0.7,400.0,unexp,28,0,336,2,2111.2086735000485,,2111.1971891000285,2111.2086735000485,2112.2057313999976,2112.2057313999976,2112.222535100009,2112.5561782000004,space,0.3351760000223294,None,2112.5565279999864,2113.2699512667064,2113.585114199959,2113.5736316999537,2113.5736538000056,2113.585114199959,2113.585114199959,2113.585114199959,2116.64930790005,800,1,[3.074373400071636],[3.074381700018421],060059,001,2024-11-14_21h58.12.486,intentional binding (1),2024.1.5,None,2024-11-14 21h58.17.313437 +0530,
