stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key-resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0.5,8.0,18.402818400063552,,18.386937299976125,18.402818400063552,18.90111670002807,18.90111670002807,18.917998300050385,19.201151399989612,19.351140700047836,left,-8.0,0,0,0.44303470000158995,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
11,0.5,8.5,19.36664310004562,,19.35127530002501,19.36664310004562,19.86522729997523,19.86522729997523,19.86522729997523,,20.016094399965368,right,8.5,1,1,0.14937280002050102,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
12,0.5,8.5,20.031859599985182,,20.01617439999245,20.031859599985182,20.530376499984413,20.530376499984413,20.530376499984413,20.84661370003596,20.930405599996448,right,8.5,0,0,0.38426560000516474,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
13,0.5,9.0,20.945643899962306,,20.93048960005399,20.945643899962306,21.444678600062616,21.444678600062616,21.46155590005219,21.743819699971937,21.993992800009437,left,-9.0,1,1,0.5419873000355437,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
14,0.5,9.0,22.009356800001115,,21.994074000045657,22.009356800001115,22.50865780003369,22.50865780003369,22.50865780003369,22.80764979997184,23.14123710000422,left,-9.0,1,1,0.621873400057666,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
15,0.5,9.0,23.156468100030906,,23.141319600050338,23.156468100030906,23.655353000038303,23.655353000038303,23.6720833000727,23.954711199970916,24.27212750003673,right,9.0,1,1,0.6121676000766456,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
16,0.5,8.5,24.286650600028224,,24.27224349998869,24.286650600028224,24.785687700030394,24.785687700030394,24.802506300038658,25.084651399985887,25.48370480001904,right,8.5,1,1,0.692913300008513,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
17,0.5,8.5,25.500526700052433,,25.48378660005983,25.500526700052433,25.9996457999805,25.9996457999805,26.01539319998119,26.314782400033437,26.59872460004408,left,-8.5,1,1,0.5955359999788925,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
18,0.5,8.5,26.613851099973544,,26.598851899965666,26.613851099973544,27.112997899996117,27.112997899996117,27.129196400055662,27.42874090000987,27.645060000009835,right,8.5,1,1,0.5268545999424532,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
19,0.5,8.0,27.660092500038445,,27.645146499969997,27.660092500038445,28.160077700042166,28.160077700042166,28.160077700042166,28.47492800001055,28.64244460000191,left,-8.0,1,1,0.47264549997635186,537033,001,2024-09-06_11h26.46.547,adaptive_staircase,2024.1.5,None,2024-09-06 11h26.50.120650 +0530,
